model,base_model,experiment_group,physics_lambda,seed,n_parameters,model_size_mb,used_data_parallel,RMSE_norm,RelL2_norm,RMSE_phys,RelL2_phys,laplacian_pred_mse_masked,laplacian_error_mse_masked,interior_MAE_phys,boundary_MAE_phys,boundary_over_interior_MAE,latency_ms_per_sample_b1,throughput_samples_per_s_b64
UNetSmall,UNetSmall,main,,42,1928129,7.355228424072266,False,0.002162321844132396,0.006767202273426725,0.002162281755832193,0.006767202257315126,0.044069387995569156,3.503185007337589e-05,0.0011743939248844981,0.000545158633030951,0.4642042342141401,2.2731895199967767,2510.7482858755143
DilatedCNN,DilatedCNN,main,,42,371969,1.4189491271972656,False,0.002348797799810831,0.007350797409660641,0.0023487542630648557,0.007350797419448123,0.04412433611973273,2.8857981578156533e-05,0.0014372318983078003,0.0006342546548694372,0.44130293460290365,1.6543306299990945,860.3273174587778
MLP,MLP,main,,42,13637632,52.0234375,False,0.023588299340291018,0.07382193976123827,0.023587862073611656,0.07382193973529005,0.03856300968159538,0.002864290950541409,0.0108034061267972,1.463609078200534e-05,0.0013547663217387182,0.2522849400003224,72790.09637057823
PooledRidge,ClosedFormRandomFeatures,eqelm_fast_baseline,,42,2101248,8.015625,False,0.033006799536554214,0.10329807723512593,0.03300618767521544,0.103298077199521,0.034438930127195906,0.009871513561128014,0.013708353973925114,0.0,0.0,0.08533330998034216,334803.50434581476
GridGCN_PhysicsLoss_lambda_1em05,GridGCN_PhysicsLoss,physics_lambda_ablation,1e-05,42,68993,0.2631874084472656,False,0.03522952087021784,0.11025430574626281,0.0352288678263406,0.11025430577399796,0.044205452735842005,0.0014397367380532757,0.013594681397080421,0.000421317556174472,0.03099135197342413,3.4350147799887054,943.7073835993722
GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,42,68993,0.2631874084472656,False,0.035346650887874205,0.11062087584031356,0.03534599566547117,0.11062087584527663,0.04271350993460762,0.0014467687255166077,0.013785114511847496,0.0006201461073942482,0.04498664895502191,3.2546000399997865,942.0045870978544
GridGCN_PhysicsLoss_lambda_0,GridGCN_PhysicsLoss,physics_lambda_ablation_reused,0.0,42,68993,0.2631874084472656,False,0.03587892161849832,0.11228667027703569,0.03587825653587341,0.1122866703024292,0.04557628258309728,0.0018424011480174046,0.014221051707863808,0.0006023935857228935,0.04235928523819577,3.253141149998555,949.8045099816342
GridGCN,GridGCN,main,,42,68993,0.2631874084472656,False,0.03587892161849832,0.11228667027703569,0.03587825653587341,0.1122866703024292,0.04557628258309728,0.0018424011480174046,0.014221051707863808,0.0006023935857228935,0.04235928523819577,3.253141149998555,949.8045099816342
GridGCN_PhysicsLoss_lambda_1em04,GridGCN_PhysicsLoss,physics_lambda_ablation_reused,0.0001,42,68993,0.2631874084472656,False,0.03597190444837573,0.11257766933411165,0.03597123765067458,0.11257766938627665,0.04593197030080079,0.001985186807676037,0.014376097358763218,0.0007224044529721141,0.05025038679788215,3.24844523000138,943.0777238782518
GridGCN_PhysicsLoss,GridGCN_PhysicsLoss,main,0.0001,42,68993,0.2631874084472656,False,0.03597190444837573,0.11257766933411165,0.03597123765067458,0.11257766938627665,0.04593197030080079,0.001985186807676037,0.014376097358763218,0.0007224044529721141,0.05025038679788215,3.24844523000138,943.0777238782518
GridGCN_PhysicsLoss_lambda_1em02,GridGCN_PhysicsLoss,physics_lambda_ablation,0.01,42,68993,0.2631874084472656,False,0.036704417679784516,0.1148701426855528,0.036703737292165126,0.1148701427024907,0.029283595334948898,0.004039721685476793,0.01722794584929943,0.0021121918689459562,0.1226026531137051,3.424154489985085,951.3844461205437
MeanBaseline,MeanBaseline,main,,42,0,0.0,False,0.21459983075492814,0.6716116134623207,0.21459585271031592,0.6716116134980218,0.0003547626737732294,0.04348285789266993,0.15145538747310638,0.0,0.0,0.01027134842995099,97358.20051474698
PooledELM,ClosedFormRandomFeatures,eqelm_fast_baseline,,42,1184000,4.5166015625,False,0.2882435227135461,0.9020869060272115,0.28823817949807756,0.902086905965304,0.1599981973764103,0.1617928299117127,0.1707269251346588,0.0,0.0,0.15101715001947014,403209.4464266967
Pooled_eQELM,ClosedFormRandomFeatures,eqelm_fast_baseline,,42,4329728,16.5166015625,False,8.352522059142494,26.140052379750617,8.352367227246372,26.140052378323766,616.387609495703,616.3159820006784,4.356755256652832,0.0,0.0,0.24074721997749293,159343.50874128996
