epoch,seed,model,base_model,experiment_group,physics_lambda,train_total_loss,train_data_mse,train_physics_loss,val_mse_norm,lr
1,42,DilatedCNN,DilatedCNN,main,,0.13967425392711183,0.13967425392711183,0.0,0.0004844932624584307,0.001
2,42,DilatedCNN,DilatedCNN,main,,0.00038498554262874924,0.00038498554262874924,0.0,0.00029120556357798083,0.001
3,42,DilatedCNN,DilatedCNN,main,,0.00026490509666224815,0.00026490509666224815,0.0,0.000120758984515169,0.001
4,42,DilatedCNN,DilatedCNN,main,,0.00023498179713066708,0.00023498179713066708,0.0,6.905744145545605e-05,0.001
5,42,DilatedCNN,DilatedCNN,main,,0.0001626529852770135,0.0001626529852770135,0.0,7.02754852313049e-05,0.001
6,42,DilatedCNN,DilatedCNN,main,,0.0001590430518820391,0.0001590430518820391,0.0,5.016192494512531e-05,0.001
7,42,DilatedCNN,DilatedCNN,main,,0.00013922154326457048,0.00013922154326457048,0.0,0.0001718104800242022,0.001
8,42,DilatedCNN,DilatedCNN,main,,0.00011107618696652603,0.00011107618696652603,0.0,0.00011882442636679688,0.001
9,42,DilatedCNN,DilatedCNN,main,,0.00010382873380131172,0.00010382873380131172,0.0,0.00015740809423099879,0.0005
10,42,DilatedCNN,DilatedCNN,main,,2.8641106031383637e-05,2.8641106031383637e-05,0.0,3.5153237347359486e-05,0.0005
11,42,DilatedCNN,DilatedCNN,main,,2.8986933951953152e-05,2.8986933951953152e-05,0.0,2.2691999716602114e-05,0.0005
12,42,DilatedCNN,DilatedCNN,main,,3.624913322363725e-05,3.624913322363725e-05,0.0,2.1922746373752158e-05,0.0005
13,42,DilatedCNN,DilatedCNN,main,,4.354030199924797e-05,4.354030199924797e-05,0.0,2.5465856781476828e-05,0.0005
14,42,DilatedCNN,DilatedCNN,main,,5.2540270946608996e-05,5.2540270946608996e-05,0.0,3.096813863679848e-05,0.0005
15,42,DilatedCNN,DilatedCNN,main,,3.896137229989726e-05,3.896137229989726e-05,0.0,7.680350930625708e-05,0.00025
16,42,DilatedCNN,DilatedCNN,main,,1.452301249980486e-05,1.452301249980486e-05,0.0,2.2011729472447277e-05,0.00025
17,42,DilatedCNN,DilatedCNN,main,,1.7383901703402635e-05,1.7383901703402635e-05,0.0,1.430867239059588e-05,0.00025
18,42,DilatedCNN,DilatedCNN,main,,1.860861781891532e-05,1.860861781891532e-05,0.0,1.0401082499591625e-05,0.00025
19,42,DilatedCNN,DilatedCNN,main,,1.5632496064046593e-05,1.5632496064046593e-05,0.0,1.1035185457001427e-05,0.00025
20,42,DilatedCNN,DilatedCNN,main,,1.9935945744068432e-05,1.9935945744068432e-05,0.0,3.208893864159135e-05,0.00025
21,42,DilatedCNN,DilatedCNN,main,,1.7280101079679834e-05,1.7280101079679834e-05,0.0,9.846825290316376e-06,0.00025
22,42,DilatedCNN,DilatedCNN,main,,1.645312345383412e-05,1.645312345383412e-05,0.0,1.8993890453773948e-05,0.00025
23,42,DilatedCNN,DilatedCNN,main,,1.6985990399385764e-05,1.6985990399385764e-05,0.0,1.000909594659933e-05,0.00025
24,42,DilatedCNN,DilatedCNN,main,,1.9902802716771803e-05,1.9902802716771803e-05,0.0,9.294735657356023e-06,0.00025
25,42,DilatedCNN,DilatedCNN,main,,1.408871834499837e-05,1.408871834499837e-05,0.0,1.1966744763861019e-05,0.00025
26,42,DilatedCNN,DilatedCNN,main,,1.7507877788379245e-05,1.7507877788379245e-05,0.0,9.281308889886194e-05,0.00025
27,42,DilatedCNN,DilatedCNN,main,,1.719495723052994e-05,1.719495723052994e-05,0.0,1.2761173139740758e-05,0.000125
28,42,DilatedCNN,DilatedCNN,main,,6.3034873375621885e-06,6.3034873375621885e-06,0.0,5.7471516560906535e-06,0.000125
29,42,DilatedCNN,DilatedCNN,main,,5.899018679369676e-06,5.899018679369676e-06,0.0,5.316585752618688e-06,0.000125
30,42,DilatedCNN,DilatedCNN,main,,6.414398980246147e-06,6.414398980246147e-06,0.0,5.3244689758909205e-06,0.000125
