epoch,seed,model,base_model,experiment_group,physics_lambda,train_total_loss,train_data_mse,train_physics_loss,val_mse_norm,lr
1,42,GridGCN_PhysicsLoss_lambda_1em05,GridGCN_PhysicsLoss,physics_lambda_ablation,1e-05,0.05720212836663083,0.05720172728861125,0.04002325200739916,0.005344845235329751,0.001
2,42,GridGCN_PhysicsLoss_lambda_1em05,GridGCN_PhysicsLoss,physics_lambda_ablation,1e-05,0.004850170027472341,0.004849711914139937,0.04581094353882052,0.003507399850565454,0.001
3,42,GridGCN_PhysicsLoss_lambda_1em05,GridGCN_PhysicsLoss,physics_lambda_ablation,1e-05,0.004500122554552034,0.004499663929763495,0.045862398895109166,0.002717385322737377,0.001
4,42,GridGCN_PhysicsLoss_lambda_1em05,GridGCN_PhysicsLoss,physics_lambda_ablation,1e-05,0.0024184406928787505,0.002417981518069996,0.045917784922426534,0.00208177022267007,0.001
5,42,GridGCN_PhysicsLoss_lambda_1em05,GridGCN_PhysicsLoss,physics_lambda_ablation,1e-05,0.002227374064007207,0.002226910371175248,0.04636933363773561,0.001871657214725867,0.001
6,42,GridGCN_PhysicsLoss_lambda_1em05,GridGCN_PhysicsLoss,physics_lambda_ablation,1e-05,0.003525878313117069,0.00352541295094242,0.04653569236860512,0.0018825319506776865,0.001
7,42,GridGCN_PhysicsLoss_lambda_1em05,GridGCN_PhysicsLoss,physics_lambda_ablation,1e-05,0.0021415565637235316,0.0021410859050132783,0.04706596730442768,0.0017921750395500286,0.001
8,42,GridGCN_PhysicsLoss_lambda_1em05,GridGCN_PhysicsLoss,physics_lambda_ablation,1e-05,0.005474600635683955,0.005474136005503783,0.04646154655448275,0.002176844145976691,0.001
9,42,GridGCN_PhysicsLoss_lambda_1em05,GridGCN_PhysicsLoss,physics_lambda_ablation,1e-05,0.002471990266927628,0.002471529023276399,0.046124446466102365,0.0018491649945100077,0.001
10,42,GridGCN_PhysicsLoss_lambda_1em05,GridGCN_PhysicsLoss,physics_lambda_ablation,1e-05,0.0017734889278967342,0.0017730220248459937,0.04669036344465015,0.001684884198801817,0.001
11,42,GridGCN_PhysicsLoss_lambda_1em05,GridGCN_PhysicsLoss,physics_lambda_ablation,1e-05,0.0019088998756527622,0.0019084345317960526,0.046534248151455855,0.0017064574353423886,0.001
12,42,GridGCN_PhysicsLoss_lambda_1em05,GridGCN_PhysicsLoss,physics_lambda_ablation,1e-05,0.0016844822660254364,0.001684016599194542,0.04656706360895688,0.001600943867945009,0.001
13,42,GridGCN_PhysicsLoss_lambda_1em05,GridGCN_PhysicsLoss,physics_lambda_ablation,1e-05,0.0016174558641709094,0.0016169904065501586,0.046545704745728035,0.0018036716498416546,0.001
14,42,GridGCN_PhysicsLoss_lambda_1em05,GridGCN_PhysicsLoss,physics_lambda_ablation,1e-05,0.002331442853549638,0.0023309767155138693,0.046613695188647226,0.0018626172652306116,0.001
15,42,GridGCN_PhysicsLoss_lambda_1em05,GridGCN_PhysicsLoss,physics_lambda_ablation,1e-05,0.001591000286331998,0.0015905343679909827,0.04659181486190476,0.0015466643580581976,0.001
16,42,GridGCN_PhysicsLoss_lambda_1em05,GridGCN_PhysicsLoss,physics_lambda_ablation,1e-05,0.0015088144084101245,0.0015083480192257736,0.04663923307173494,0.0015042132567524335,0.001
17,42,GridGCN_PhysicsLoss_lambda_1em05,GridGCN_PhysicsLoss,physics_lambda_ablation,1e-05,0.0015099982987254411,0.0015095311013825516,0.0467194661528921,0.0019778904880752455,0.001
18,42,GridGCN_PhysicsLoss_lambda_1em05,GridGCN_PhysicsLoss,physics_lambda_ablation,1e-05,0.001476861972397475,0.001476396187946131,0.04657865271712682,0.0014899823272483792,0.001
19,42,GridGCN_PhysicsLoss_lambda_1em05,GridGCN_PhysicsLoss,physics_lambda_ablation,1e-05,0.0021388650111136783,0.002138404151777627,0.04608633327558174,0.0015039396402538542,0.001
20,42,GridGCN_PhysicsLoss_lambda_1em05,GridGCN_PhysicsLoss,physics_lambda_ablation,1e-05,0.0014269898888292505,0.0014265231895655795,0.04666992300045416,0.0015678558271414271,0.001
21,42,GridGCN_PhysicsLoss_lambda_1em05,GridGCN_PhysicsLoss,physics_lambda_ablation,1e-05,0.00146093575850777,0.0014604679705318658,0.046778883021440565,0.001456744889031358,0.001
22,42,GridGCN_PhysicsLoss_lambda_1em05,GridGCN_PhysicsLoss,physics_lambda_ablation,1e-05,0.0014133400862938175,0.001412873116599523,0.046696631365125967,0.001465627840936076,0.001
23,42,GridGCN_PhysicsLoss_lambda_1em05,GridGCN_PhysicsLoss,physics_lambda_ablation,1e-05,0.0014034947465987602,0.0014030282076170541,0.04665413717151182,0.0013983441952049084,0.001
24,42,GridGCN_PhysicsLoss_lambda_1em05,GridGCN_PhysicsLoss,physics_lambda_ablation,1e-05,0.0013862802603910628,0.0013858143099936546,0.04659514099853133,0.0014287344610840443,0.001
25,42,GridGCN_PhysicsLoss_lambda_1em05,GridGCN_PhysicsLoss,physics_lambda_ablation,1e-05,0.001408755033653939,0.0014082893956255931,0.04656367999642285,0.001413883076157367,0.001
26,42,GridGCN_PhysicsLoss_lambda_1em05,GridGCN_PhysicsLoss,physics_lambda_ablation,1e-05,0.0013780048933877045,0.0013775398475590391,0.04650458363395794,0.0013987972453947445,0.0005
