epoch,seed,model,base_model,experiment_group,physics_lambda,train_total_loss,train_data_mse,train_physics_loss,val_mse_norm,lr
1,42,MLP,MLP,main,,0.01056835341496744,0.01056835341496744,0.0,0.0033782591530378313,0.001
2,42,MLP,MLP,main,,0.003557225002369248,0.003557225002369248,0.0,0.0021962746595378946,0.001
3,42,MLP,MLP,main,,0.0027454655644470367,0.0027454655644470367,0.0,0.0017998997709187477,0.001
4,42,MLP,MLP,main,,0.00254341578096591,0.00254341578096591,0.0,0.002020744062456244,0.001
5,42,MLP,MLP,main,,0.0023344010259285105,0.0023344010259285105,0.0,0.001901677364240522,0.001
6,42,MLP,MLP,main,,0.002309897362821452,0.002309897362821452,0.0,0.0018486061554114168,0.0005
7,42,MLP,MLP,main,,0.0015862483560641761,0.0015862483560641761,0.0,0.0010296008206570999,0.0005
8,42,MLP,MLP,main,,0.00153202015600952,0.00153202015600952,0.0,0.0011049064274445393,0.0005
9,42,MLP,MLP,main,,0.0015435097184741781,0.0015435097184741781,0.0,0.0010643055907716065,0.0005
10,42,MLP,MLP,main,,0.0014915081872903658,0.0014915081872903658,0.0,0.0010626571453153943,0.00025
11,42,MLP,MLP,main,,0.0012342769923276706,0.0012342769923276706,0.0,0.0008063222121915235,0.00025
12,42,MLP,MLP,main,,0.0012113787973777818,0.0012113787973777818,0.0,0.0008679740490832766,0.00025
13,42,MLP,MLP,main,,0.0012158806013728167,0.0012158806013728167,0.0,0.0007990969225183885,0.00025
14,42,MLP,MLP,main,,0.0011988645618324462,0.0011988645618324462,0.0,0.0008358167386546299,0.00025
15,42,MLP,MLP,main,,0.0011950161137645118,0.0011950161137645118,0.0,0.0008431615770214062,0.00025
16,42,MLP,MLP,main,,0.0011629594818208806,0.0011629594818208806,0.0,0.0007783749569904797,0.00025
17,42,MLP,MLP,main,,0.0011594511332823345,0.0011594511332823345,0.0,0.0008064623517749139,0.00025
18,42,MLP,MLP,main,,0.0011317029882918497,0.0011317029882918497,0.0,0.000748534237511528,0.00025
19,42,MLP,MLP,main,,0.0011210556564549866,0.0011210556564549866,0.0,0.0007568220225509238,0.00025
20,42,MLP,MLP,main,,0.0010951371511828162,0.0010951371511828162,0.0,0.0008146064243490858,0.00025
21,42,MLP,MLP,main,,0.0010857743983095276,0.0010857743983095276,0.0,0.000758138891019305,0.000125
22,42,MLP,MLP,main,,0.0009678547570913814,0.0009678547570913814,0.0,0.00062403792221828,0.000125
23,42,MLP,MLP,main,,0.0009481335744766931,0.0009481335744766931,0.0,0.0006416886985855366,0.000125
24,42,MLP,MLP,main,,0.0009418947996492604,0.0009418947996492604,0.0,0.0006425409968087567,0.000125
25,42,MLP,MLP,main,,0.0009310543797447445,0.0009310543797447445,0.0,0.0006371132719020048,6.25e-05
26,42,MLP,MLP,main,,0.000880306010813246,0.000880306010813246,0.0,0.0005968991719897171,6.25e-05
27,42,MLP,MLP,main,,0.0008731257161038771,0.0008731257161038771,0.0,0.0005774809950782697,6.25e-05
28,42,MLP,MLP,main,,0.0008676416384283739,0.0008676416384283739,0.0,0.0005719518600535638,6.25e-05
29,42,MLP,MLP,main,,0.0008647925070753055,0.0008647925070753055,0.0,0.0005753628039566108,6.25e-05
30,42,MLP,MLP,main,,0.0008616657463899249,0.0008616657463899249,0.0,0.0005798502808328772,6.25e-05
