epoch,seed,model,base_model,experiment_group,physics_lambda,train_total_loss,train_data_mse,train_physics_loss,val_mse_norm,lr
1,42,UNetSmall,UNetSmall,main,,0.005115144337833798,0.005115144337833798,0.0,0.0009219818782277297,0.001
2,42,UNetSmall,UNetSmall,main,,0.0002575858322470632,0.0002575858322470632,0.0,0.00015449163298390285,0.001
3,42,UNetSmall,UNetSmall,main,,0.00017078816403242456,0.00017078816403242456,0.0,7.253813082526622e-05,0.001
4,42,UNetSmall,UNetSmall,main,,0.00012381409459282677,0.00012381409459282677,0.0,0.00011782685770953506,0.001
5,42,UNetSmall,UNetSmall,main,,9.751815521829534e-05,9.751815521829534e-05,0.0,4.746047814012784e-05,0.001
6,42,UNetSmall,UNetSmall,main,,7.816600468093226e-05,7.816600468093226e-05,0.0,3.268283036897962e-05,0.001
7,42,UNetSmall,UNetSmall,main,,7.139000234501527e-05,7.139000234501527e-05,0.0,8.172590138192698e-05,0.001
8,42,UNetSmall,UNetSmall,main,,6.205314004798704e-05,6.205314004798704e-05,0.0,4.118742699442985e-05,0.001
9,42,UNetSmall,UNetSmall,main,,5.086367105440657e-05,5.086367105440657e-05,0.0,1.6972933981861753e-05,0.001
10,42,UNetSmall,UNetSmall,main,,5.6982500298895584e-05,5.6982500298895584e-05,0.0,3.4680110083950304e-05,0.001
11,42,UNetSmall,UNetSmall,main,,5.0446056995711866e-05,5.0446056995711866e-05,0.0,2.549598464145604e-05,0.001
12,42,UNetSmall,UNetSmall,main,,3.8937770179894656e-05,3.8937770179894656e-05,0.0,4.371458809422936e-05,0.0005
13,42,UNetSmall,UNetSmall,main,,1.0003473014435738e-05,1.0003473014435738e-05,0.0,8.793323209776672e-06,0.0005
14,42,UNetSmall,UNetSmall,main,,9.08754184219601e-06,9.08754184219601e-06,0.0,1.2250986357403982e-05,0.0005
15,42,UNetSmall,UNetSmall,main,,1.2248254594661276e-05,1.2248254594661276e-05,0.0,1.3145546084112412e-05,0.0005
16,42,UNetSmall,UNetSmall,main,,2.5191650571931016e-05,2.5191650571931016e-05,0.0,2.547477391568982e-05,0.00025
17,42,UNetSmall,UNetSmall,main,,6.76029353307139e-06,6.76029353307139e-06,0.0,5.904744084721857e-06,0.00025
18,42,UNetSmall,UNetSmall,main,,5.9503502223371215e-06,5.9503502223371215e-06,0.0,5.776111004306937e-06,0.00025
19,42,UNetSmall,UNetSmall,main,,5.993655344633606e-06,5.993655344633606e-06,0.0,7.427444826763186e-06,0.00025
20,42,UNetSmall,UNetSmall,main,,8.455033184119968e-06,8.455033184119968e-06,0.0,4.782835247714532e-06,0.00025
21,42,UNetSmall,UNetSmall,main,,6.5062874156722185e-06,6.5062874156722185e-06,0.0,5.596491472966011e-06,0.00025
22,42,UNetSmall,UNetSmall,main,,8.950926241019678e-06,8.950926241019678e-06,0.0,2.6078090776215815e-05,0.00025
23,42,UNetSmall,UNetSmall,main,,6.891306432221455e-06,6.891306432221455e-06,0.0,4.258972145303474e-06,0.00025
24,42,UNetSmall,UNetSmall,main,,9.533250579187406e-06,9.533250579187406e-06,0.0,4.9138559362567635e-06,0.00025
25,42,UNetSmall,UNetSmall,main,,5.894939679897003e-06,5.894939679897003e-06,0.0,5.06546216083163e-06,0.00025
26,42,UNetSmall,UNetSmall,main,,7.366386785132127e-06,7.366386785132127e-06,0.0,1.7293618140578527e-05,0.000125
