model,seed,physics_lambda,interior_MAE_phys,boundary_MAE_phys,boundary_over_interior_MAE,laplacian_pred_mse_masked,laplacian_error_mse_masked
UNetSmall,42,,0.0011743939248844981,0.000545158633030951,0.4642042342141401,0.044069387995569156,3.503185007337589e-05
DilatedCNN,42,,0.0014372318983078003,0.0006342546548694372,0.44130293460290365,0.04412433611973273,2.8857981578156533e-05
MLP,42,,0.0108034061267972,1.463609078200534e-05,0.0013547663217387182,0.03856300968159538,0.002864290950541409
PooledRidge,42,,0.013708353973925114,0.0,0.0,0.034438930127195906,0.009871513561128014
GridGCN_PhysicsLoss_lambda_1em05,42,1e-05,0.013594681397080421,0.000421317556174472,0.03099135197342413,0.044205452735842005,0.0014397367380532757
GridGCN_PhysicsLoss_lambda_1em03,42,0.001,0.013785114511847496,0.0006201461073942482,0.04498664895502191,0.04271350993460762,0.0014467687255166077
GridGCN_PhysicsLoss_lambda_0,42,0.0,0.014221051707863808,0.0006023935857228935,0.04235928523819577,0.04557628258309728,0.0018424011480174046
GridGCN,42,,0.014221051707863808,0.0006023935857228935,0.04235928523819577,0.04557628258309728,0.0018424011480174046
GridGCN_PhysicsLoss_lambda_1em04,42,0.0001,0.014376097358763218,0.0007224044529721141,0.05025038679788215,0.04593197030080079,0.001985186807676037
GridGCN_PhysicsLoss,42,0.0001,0.014376097358763218,0.0007224044529721141,0.05025038679788215,0.04593197030080079,0.001985186807676037
GridGCN_PhysicsLoss_lambda_1em02,42,0.01,0.01722794584929943,0.0021121918689459562,0.1226026531137051,0.029283595334948898,0.004039721685476793
MeanBaseline,42,,0.15145538747310638,0.0,0.0,0.0003547626737732294,0.04348285789266993
PooledELM,42,,0.1707269251346588,0.0,0.0,0.1599981973764103,0.1617928299117127
Pooled_eQELM,42,,4.356755256652832,0.0,0.0,616.387609495703,616.3159820006784
