model,base_model,experiment_group,physics_lambda,seed,n_parameters,model_size_mb,used_data_parallel,best_epoch,MAE_norm,RMSE_norm,R2_norm,RelL2_norm,MaxAE_norm,P95AE_norm,MAE_phys,RMSE_phys,R2_phys,RelL2_phys,MaxAE_phys,P95AE_phys,SSIM_phys_first_channel,laplacian_pred_mse_masked,laplacian_true_mse_masked,laplacian_error_mse_masked,laplacian_ratio_pred_over_true_masked,interior_MAE_phys,boundary_MAE_phys,boundary_over_interior_MAE,latency_ms_per_sample_b1,throughput_samples_per_s_b64,checkpoint,best_val_mse_norm,test_samples,throughput_samples_per_s_b1,latency_ms_per_sample_b64,eqelm_train_samples_used,eqelm_pool_size,eqelm_hidden,eqelm_ridge_alpha,fit_time_s,note
UNetSmall,UNetSmall,main,,42,1928129,7.355228424072266,False,20,0.001135702636442594,0.002162321844132396,0.9999361434513679,0.006767202273426725,0.1796197071671486,0.004519102722406354,0.0011356815811416037,0.002162281755832193,0.9999361434516731,0.006767202257315126,0.17961638420820236,0.004518985748291016,0.9982781296093933,0.044069387995569156,0.043822599859088485,3.503185007337589e-05,1.0056315265700482,0.0011743939248844981,0.000545158633030951,0.4642042342141401,2.2731895199967767,2510.7482858755143,/kaggle/working/outputs/checkpoints/UNetSmall_seed42.pt,4.782835247714532e-06,6624,439.9105271264043,0.398287636249961,,,,,,
DilatedCNN,DilatedCNN,main,,42,371969,1.4189491271972656,False,28,0.0013878553309567443,0.002348797799810831,0.9999246547230994,0.007350797409660641,0.12641188502311707,0.0050383806228637695,0.0013878296070059806,0.0023487542630648557,0.9999246547229,0.007350797419448123,0.12640953063964844,0.005038284789770808,0.995868761573174,0.04412433611973273,0.043822599859088485,2.8857981578156533e-05,1.006885402979458,0.0014372318983078003,0.0006342546548694372,0.44130293460290365,1.6543306299990945,860.3273174587778,/kaggle/working/outputs/checkpoints/DilatedCNN_seed42.pt,5.7471516560906535e-06,6624,604.4740887137823,1.1623483059375417,,,,,,
MLP,MLP,main,,42,13637632,52.0234375,False,28,0.010139834788813088,0.023588299340291018,0.9924009722353214,0.07382193976123827,0.5903559923171997,0.038820743560791016,0.010139646826781402,0.023587862073611656,0.9924009722407924,0.07382193973529005,0.5903450548648834,0.03882002830505371,0.8866065340046105,0.03856300968159538,0.043822599859088485,0.002864290950541409,0.879979960219492,0.0108034061267972,1.463609078200534e-05,0.0013547663217387182,0.2522849400003224,72790.09637057823,/kaggle/working/outputs/checkpoints/MLP_seed42.pt,0.0005719518600535638,6624,3963.7720745389,0.013738132656246904,,,,,,
PooledRidge,ClosedFormRandomFeatures,eqelm_fast_baseline,,42,2101248,8.015625,False,0,0.012865228017873643,0.033006799536554214,0.985121073393027,0.10329807723512593,0.9283971823751926,0.060448646545410156,0.012864989541559547,0.03300618767521544,0.9851210734035398,0.103298077199521,0.9283799454569817,0.06044752523303032,0.8632943285670782,0.034438930127195906,0.043822599859088485,0.009871513561128014,0.785871450738851,0.013708353973925114,0.0,0.0,0.08533330998034216,334803.50434581476,,,6624,11718.753207046173,0.0029868265625054846,30912.0,16.0,0.0,0.001,0.5528274889984459,
GridGCN_PhysicsLoss_lambda_1em05,GridGCN_PhysicsLoss,physics_lambda_ablation,1e-05,42,68993,0.2631874084472656,False,39,0.012784435813177694,0.03522952087021784,0.9830496666383529,0.11025430574626281,0.5279027223587036,0.07656372413039197,0.01278419881852181,0.0352288678263406,0.9830496666301118,0.11025430577399796,0.5278929471969604,0.07656229808926579,0.8901783895257227,0.044205452735842005,0.043822599859088485,0.0014397367380532757,1.008736425428337,0.013594681397080421,0.000421317556174472,0.03099135197342413,3.4350147799887054,943.7073835993722,/kaggle/working/outputs/checkpoints/GridGCN_PhysicsLoss_lambda_1em05_seed42.pt,0.0013079771941869659,6624,291.11956251998663,1.0596504990624567,,,,,,
GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,42,68993,0.2631874084472656,False,37,0.012975404818875668,0.035346650887874205,0.9829367673832359,0.11062087584031356,0.5236390233039856,0.07697439193725586,0.012975164296038795,0.03534599566547117,0.9829367673819935,0.11062087584527663,0.5236293077468872,0.07697296142578125,0.8903846345958071,0.04271350993460762,0.043822599859088485,0.0014467687255166077,0.97469137091314,0.013785114511847496,0.0006201461073942482,0.04498664895502191,3.2546000399997865,942.0045870978544,/kaggle/working/outputs/checkpoints/GridGCN_PhysicsLoss_lambda_1em03_seed42.pt,0.0013169864465927949,6624,307.25741649043476,1.0615659559374535,,,,,,
GridGCN_PhysicsLoss_lambda_0,GridGCN_PhysicsLoss,physics_lambda_ablation_reused,0.0,42,68993,0.2631874084472656,False,28,0.01338343202374997,0.03587892161849832,0.9824190016502877,0.11228667027703569,0.5191279053688049,0.07892843633890145,0.013383183933920125,0.03587825653587341,0.9824190016426337,0.1122866703024292,0.5191183090209961,0.07892697602510446,0.8858079008832322,0.04557628258309728,0.043822599859088485,0.0018424011480174046,1.0400177700229505,0.014221051707863808,0.0006023935857228935,0.04235928523819577,3.253141149998555,949.8045099816342,/kaggle/working/outputs/checkpoints/GridGCN_seed42.pt,0.0013550577296061073,6624,307.3952078594696,1.0528482329688416,,,,,,
GridGCN,GridGCN,main,,42,68993,0.2631874084472656,False,28,0.01338343202374997,0.03587892161849832,0.9824190016502877,0.11228667027703569,0.5191279053688049,0.07892843633890145,0.013383183933920125,0.03587825653587341,0.9824190016426337,0.1122866703024292,0.5191183090209961,0.07892697602510446,0.8858079008832322,0.04557628258309728,0.043822599859088485,0.0018424011480174046,1.0400177700229505,0.014221051707863808,0.0006023935857228935,0.04235928523819577,3.253141149998555,949.8045099816342,/kaggle/working/outputs/checkpoints/GridGCN_seed42.pt,0.0013550577296061073,6624,307.3952078594696,1.0528482329688416,,,,,,
GridGCN_PhysicsLoss_lambda_1em04,GridGCN_PhysicsLoss,physics_lambda_ablation_reused,0.0001,42,68993,0.2631874084472656,False,28,0.01353633192465589,0.03597190444837573,0.982327758705027,0.11257766933411165,0.5259484648704529,0.07890370041131967,0.013536081018356023,0.03597123765067458,0.9823277586889483,0.11257766938627665,0.5259387493133545,0.0789022445678711,0.8836581164317073,0.04593197030080079,0.043822599859088485,0.001985186807676037,1.0481343062129325,0.014376097358763218,0.0007224044529721141,0.05025038679788215,3.24844523000138,943.0777238782518,/kaggle/working/outputs/checkpoints/GridGCN_PhysicsLoss_seed42.pt,0.001362100320616242,6624,307.83957530340604,1.0603579903124682,,,,,,
GridGCN_PhysicsLoss,GridGCN_PhysicsLoss,main,0.0001,42,68993,0.2631874084472656,False,28,0.01353633192465589,0.03597190444837573,0.982327758705027,0.11257766933411165,0.5259484648704529,0.07890370041131967,0.013536081018356023,0.03597123765067458,0.9823277586889483,0.11257766938627665,0.5259387493133545,0.0789022445678711,0.8836581164317073,0.04593197030080079,0.043822599859088485,0.001985186807676037,1.0481343062129325,0.014376097358763218,0.0007224044529721141,0.05025038679788215,3.24844523000138,943.0777238782518,/kaggle/working/outputs/checkpoints/GridGCN_PhysicsLoss_seed42.pt,0.001362100320616242,6624,307.83957530340604,1.0603579903124682,,,,,,
