model,n_runs,base_model,experiment_group,seed_mean,seed_std,physics_lambda_mean,physics_lambda_std,best_epoch_mean,best_epoch_std,best_val_mse_norm_mean,best_val_mse_norm_std,n_parameters_mean,n_parameters_std,model_size_mb_mean,model_size_mb_std,used_data_parallel_mean,used_data_parallel_std,SSIM_phys_first_channel_mean,SSIM_phys_first_channel_std,test_samples_mean,test_samples_std,latency_ms_per_sample_b1_mean,latency_ms_per_sample_b1_std,throughput_samples_per_s_b64_mean,throughput_samples_per_s_b64_std,MAE_norm_mean,MAE_norm_std,RMSE_norm_mean,RMSE_norm_std,R2_norm_mean,R2_norm_std,RelL2_norm_mean,RelL2_norm_std,MaxAE_norm_mean,MaxAE_norm_std,P95AE_norm_mean,P95AE_norm_std,MAE_phys_mean,MAE_phys_std,RMSE_phys_mean,RMSE_phys_std,R2_phys_mean,R2_phys_std,RelL2_phys_mean,RelL2_phys_std,MaxAE_phys_mean,MaxAE_phys_std,P95AE_phys_mean,P95AE_phys_std,laplacian_pred_mse_masked_mean,laplacian_pred_mse_masked_std,laplacian_true_mse_masked_mean,laplacian_true_mse_masked_std,laplacian_error_mse_masked_mean,laplacian_error_mse_masked_std,laplacian_ratio_pred_over_true_masked_mean,laplacian_ratio_pred_over_true_masked_std,interior_MAE_phys_mean,interior_MAE_phys_std,boundary_MAE_phys_mean,boundary_MAE_phys_std,boundary_over_interior_MAE_mean,boundary_over_interior_MAE_std,throughput_samples_per_s_b1_mean,throughput_samples_per_s_b1_std,latency_ms_per_sample_b64_mean,latency_ms_per_sample_b64_std,eqelm_train_samples_used_mean,eqelm_train_samples_used_std,eqelm_pool_size_mean,eqelm_pool_size_std,eqelm_hidden_mean,eqelm_hidden_std,eqelm_ridge_alpha_mean,eqelm_ridge_alpha_std,fit_time_s_mean,fit_time_s_std
UNetSmall,1,UNetSmall,main,42.0,0.0,,0.0,20.0,0.0,4.782835247714532e-06,0.0,1928129.0,0.0,7.355228424072266,0.0,0.0,0.0,0.9982781296093933,0.0,6624.0,0.0,2.2731895199967767,0.0,2510.7482858755143,0.0,0.001135702636442594,0.0,0.002162321844132396,0.0,0.9999361434513679,0.0,0.006767202273426725,0.0,0.1796197071671486,0.0,0.004519102722406354,0.0,0.0011356815811416037,0.0,0.002162281755832193,0.0,0.9999361434516731,0.0,0.006767202257315126,0.0,0.17961638420820236,0.0,0.004518985748291016,0.0,0.044069387995569156,0.0,0.043822599859088485,0.0,3.503185007337589e-05,0.0,1.0056315265700482,0.0,0.0011743939248844981,0.0,0.000545158633030951,0.0,0.4642042342141401,0.0,439.9105271264043,0.0,0.398287636249961,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
DilatedCNN,1,DilatedCNN,main,42.0,0.0,,0.0,28.0,0.0,5.7471516560906535e-06,0.0,371969.0,0.0,1.4189491271972656,0.0,0.0,0.0,0.995868761573174,0.0,6624.0,0.0,1.6543306299990945,0.0,860.3273174587778,0.0,0.0013878553309567443,0.0,0.002348797799810831,0.0,0.9999246547230994,0.0,0.007350797409660641,0.0,0.12641188502311707,0.0,0.0050383806228637695,0.0,0.0013878296070059806,0.0,0.0023487542630648557,0.0,0.9999246547229,0.0,0.007350797419448123,0.0,0.12640953063964844,0.0,0.005038284789770808,0.0,0.04412433611973273,0.0,0.043822599859088485,0.0,2.8857981578156533e-05,0.0,1.006885402979458,0.0,0.0014372318983078003,0.0,0.0006342546548694372,0.0,0.44130293460290365,0.0,604.4740887137823,0.0,1.1623483059375417,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
MLP,1,MLP,main,42.0,0.0,,0.0,28.0,0.0,0.0005719518600535638,0.0,13637632.0,0.0,52.0234375,0.0,0.0,0.0,0.8866065340046105,0.0,6624.0,0.0,0.2522849400003224,0.0,72790.09637057823,0.0,0.010139834788813088,0.0,0.023588299340291018,0.0,0.9924009722353214,0.0,0.07382193976123827,0.0,0.5903559923171997,0.0,0.038820743560791016,0.0,0.010139646826781402,0.0,0.023587862073611656,0.0,0.9924009722407924,0.0,0.07382193973529005,0.0,0.5903450548648834,0.0,0.03882002830505371,0.0,0.03856300968159538,0.0,0.043822599859088485,0.0,0.002864290950541409,0.0,0.879979960219492,0.0,0.0108034061267972,0.0,1.463609078200534e-05,0.0,0.0013547663217387182,0.0,3963.7720745389,0.0,0.013738132656246904,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
PooledRidge,1,ClosedFormRandomFeatures,eqelm_fast_baseline,42.0,0.0,,0.0,0.0,0.0,,0.0,2101248.0,0.0,8.015625,0.0,0.0,0.0,0.8632943285670782,0.0,6624.0,0.0,0.08533330998034216,0.0,334803.50434581476,0.0,0.012865228017873643,0.0,0.033006799536554214,0.0,0.985121073393027,0.0,0.10329807723512593,0.0,0.9283971823751926,0.0,0.060448646545410156,0.0,0.012864989541559547,0.0,0.03300618767521544,0.0,0.9851210734035398,0.0,0.103298077199521,0.0,0.9283799454569817,0.0,0.06044752523303032,0.0,0.034438930127195906,0.0,0.043822599859088485,0.0,0.009871513561128014,0.0,0.785871450738851,0.0,0.013708353973925114,0.0,0.0,0.0,0.0,0.0,11718.753207046173,0.0,0.0029868265625054846,0.0,30912.0,0.0,16.0,0.0,0.0,0.0,0.001,0.0,0.5528274889984459,0.0
GridGCN_PhysicsLoss_lambda_1em05,1,GridGCN_PhysicsLoss,physics_lambda_ablation,42.0,0.0,1e-05,0.0,39.0,0.0,0.0013079771941869659,0.0,68993.0,0.0,0.2631874084472656,0.0,0.0,0.0,0.8901783895257227,0.0,6624.0,0.0,3.4350147799887054,0.0,943.7073835993722,0.0,0.012784435813177694,0.0,0.03522952087021784,0.0,0.9830496666383529,0.0,0.11025430574626281,0.0,0.5279027223587036,0.0,0.07656372413039197,0.0,0.01278419881852181,0.0,0.0352288678263406,0.0,0.9830496666301118,0.0,0.11025430577399796,0.0,0.5278929471969604,0.0,0.07656229808926579,0.0,0.044205452735842005,0.0,0.043822599859088485,0.0,0.0014397367380532757,0.0,1.008736425428337,0.0,0.013594681397080421,0.0,0.000421317556174472,0.0,0.03099135197342413,0.0,291.11956251998663,0.0,1.0596504990624567,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
GridGCN_PhysicsLoss_lambda_1em03,1,GridGCN_PhysicsLoss,physics_lambda_ablation,42.0,0.0,0.001,0.0,37.0,0.0,0.0013169864465927949,0.0,68993.0,0.0,0.2631874084472656,0.0,0.0,0.0,0.8903846345958071,0.0,6624.0,0.0,3.2546000399997865,0.0,942.0045870978544,0.0,0.012975404818875668,0.0,0.035346650887874205,0.0,0.9829367673832359,0.0,0.11062087584031356,0.0,0.5236390233039856,0.0,0.07697439193725586,0.0,0.012975164296038795,0.0,0.03534599566547117,0.0,0.9829367673819935,0.0,0.11062087584527663,0.0,0.5236293077468872,0.0,0.07697296142578125,0.0,0.04271350993460762,0.0,0.043822599859088485,0.0,0.0014467687255166077,0.0,0.97469137091314,0.0,0.013785114511847496,0.0,0.0006201461073942482,0.0,0.04498664895502191,0.0,307.25741649043476,0.0,1.0615659559374535,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
GridGCN_PhysicsLoss_lambda_0,1,GridGCN_PhysicsLoss,physics_lambda_ablation_reused,42.0,0.0,0.0,0.0,28.0,0.0,0.0013550577296061073,0.0,68993.0,0.0,0.2631874084472656,0.0,0.0,0.0,0.8858079008832322,0.0,6624.0,0.0,3.253141149998555,0.0,949.8045099816342,0.0,0.01338343202374997,0.0,0.03587892161849832,0.0,0.9824190016502877,0.0,0.11228667027703569,0.0,0.5191279053688049,0.0,0.07892843633890145,0.0,0.013383183933920125,0.0,0.03587825653587341,0.0,0.9824190016426337,0.0,0.1122866703024292,0.0,0.5191183090209961,0.0,0.07892697602510446,0.0,0.04557628258309728,0.0,0.043822599859088485,0.0,0.0018424011480174046,0.0,1.0400177700229505,0.0,0.014221051707863808,0.0,0.0006023935857228935,0.0,0.04235928523819577,0.0,307.3952078594696,0.0,1.0528482329688416,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
GridGCN,1,GridGCN,main,42.0,0.0,,0.0,28.0,0.0,0.0013550577296061073,0.0,68993.0,0.0,0.2631874084472656,0.0,0.0,0.0,0.8858079008832322,0.0,6624.0,0.0,3.253141149998555,0.0,949.8045099816342,0.0,0.01338343202374997,0.0,0.03587892161849832,0.0,0.9824190016502877,0.0,0.11228667027703569,0.0,0.5191279053688049,0.0,0.07892843633890145,0.0,0.013383183933920125,0.0,0.03587825653587341,0.0,0.9824190016426337,0.0,0.1122866703024292,0.0,0.5191183090209961,0.0,0.07892697602510446,0.0,0.04557628258309728,0.0,0.043822599859088485,0.0,0.0018424011480174046,0.0,1.0400177700229505,0.0,0.014221051707863808,0.0,0.0006023935857228935,0.0,0.04235928523819577,0.0,307.3952078594696,0.0,1.0528482329688416,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
GridGCN_PhysicsLoss,1,GridGCN_PhysicsLoss,main,42.0,0.0,0.0001,0.0,28.0,0.0,0.001362100320616242,0.0,68993.0,0.0,0.2631874084472656,0.0,0.0,0.0,0.8836581164317073,0.0,6624.0,0.0,3.24844523000138,0.0,943.0777238782518,0.0,0.01353633192465589,0.0,0.03597190444837573,0.0,0.982327758705027,0.0,0.11257766933411165,0.0,0.5259484648704529,0.0,0.07890370041131967,0.0,0.013536081018356023,0.0,0.03597123765067458,0.0,0.9823277586889483,0.0,0.11257766938627665,0.0,0.5259387493133545,0.0,0.0789022445678711,0.0,0.04593197030080079,0.0,0.043822599859088485,0.0,0.001985186807676037,0.0,1.0481343062129325,0.0,0.014376097358763218,0.0,0.0007224044529721141,0.0,0.05025038679788215,0.0,307.83957530340604,0.0,1.0603579903124682,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
GridGCN_PhysicsLoss_lambda_1em04,1,GridGCN_PhysicsLoss,physics_lambda_ablation_reused,42.0,0.0,0.0001,0.0,28.0,0.0,0.001362100320616242,0.0,68993.0,0.0,0.2631874084472656,0.0,0.0,0.0,0.8836581164317073,0.0,6624.0,0.0,3.24844523000138,0.0,943.0777238782518,0.0,0.01353633192465589,0.0,0.03597190444837573,0.0,0.982327758705027,0.0,0.11257766933411165,0.0,0.5259484648704529,0.0,0.07890370041131967,0.0,0.013536081018356023,0.0,0.03597123765067458,0.0,0.9823277586889483,0.0,0.11257766938627665,0.0,0.5259387493133545,0.0,0.0789022445678711,0.0,0.04593197030080079,0.0,0.043822599859088485,0.0,0.001985186807676037,0.0,1.0481343062129325,0.0,0.014376097358763218,0.0,0.0007224044529721141,0.0,0.05025038679788215,0.0,307.83957530340604,0.0,1.0603579903124682,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
